,Total Demand,Change in Demand,Price Surge,Minimum Temperature (Â°C),Maximum Temperature (Â°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of Maximum Wind Gust (km/h),9am Temperature (Â°C),9am Relative Humidity (%),9am Cloud Amount (oktas),9am Wind Speed (km/h),3pm Temperature (Â°C),3pm Relative Humidity (%),3pm Cloud Amount (oktas),3pm Wind Speed (km/h)
Total Demand,1.0,0.2869048514107425,0.008174164116875743,0.16961240470486955,0.10446178709020494,0.0032849524101828923,0.06358017075706532,0.022413002454573068,0.003153563812921708,0.17938826859617474,0.007740683232875184,0.005265784757091397,0.0038458161314239366,0.08440455781707434,0.016372877423431978,0.00739803860294657,0.016763408932218362
Change in Demand,0.2869048514107425,1.0,0.003100447232313854,0.0962173240233675,0.0498560329394727,0.024775782551827167,0.03866805615737915,0.018503929887561422,0.005588655409899515,0.09257218044481033,0.02706539399989107,0.009279712020948802,0.0017744793106537588,0.02922699060165222,0.02431691786559182,0.012438450878333389,0.015310433943866216
Price Surge,0.008174164116875743,0.003100447232313854,1.0,4.330162078280739e-07,0.0032982162217040636,1.7521880258308782e-07,0.0069507233801816126,0.008369500015783378,0.01597884071423001,1.3560047068200278e-05,5.672005263969047e-05,0.019314347386287702,0.0022247774130518304,0.0032304504416934476,0.007819720875648861,0.017697979195788804,0.014471589819387612
Minimum Temperature (Â°C),0.16961240470486955,0.0962173240233675,4.330162078280739e-07,1.0,0.2215408739513747,0.04032610793432533,0.08945575742719943,0.015683053074624805,0.021088674068033757,0.5674178573950422,0.05040433937199202,0.07370168009327119,0.018594803261059462,0.19490689901781472,0.10699544245599064,0.031254032519162867,0.024127869058617288
Maximum Temperature (Â°C),0.10446178709020494,0.0498560329394727,0.0032982162217040636,0.2215408739513747,1.0,0.0014757091034884237,0.05524947921412928,0.03782042137132375,0.003564556973462671,0.2688480632788276,0.027864678292272054,0.006118815797282038,0.04298609186036225,0.5133382934868245,0.03800544587580383,0.021153844139267537,0.0350110121206253
Rainfall (mm),0.0032849524101828923,0.024775782551827167,1.7521880258308782e-07,0.04032610793432533,0.0014757091034884237,1.0,0.006328300888338181,0.08320194458255935,0.017036169736989945,0.014402295981350049,0.08593596683450606,0.062139277257802564,0.01493538511082924,0.0021591002483393276,0.08317826353462776,0.07835711965214111,0.007354366680184371
Evaporation (mm),0.06358017075706532,0.03866805615737915,0.0069507233801816126,0.08945575742719943,0.05524947921412928,0.006328300888338181,1.0,0.015929066236519678,0.04059947177193624,0.11501028995302359,0.049064376980473765,0.006496238581478143,0.002981432977888715,0.04541998842720265,0.024255871513169158,0.01722771107846163,0.027694242282226354
Sunshine (hours),0.022413002454573068,0.018503929887561422,0.008369500015783378,0.015683053074624805,0.03782042137132375,0.08320194458255935,0.015929066236519678,1.0,0.014296225059872152,0.011178089599255038,0.02838455930128827,0.2597878049244858,0.00938392003866597,0.06227600047816343,0.20750404848566859,0.3637765029913991,0.010902172917397663
Speed of Maximum Wind Gust (km/h),0.003153563812921708,0.005588655409899515,0.01597884071423001,0.021088674068033757,0.003564556973462671,0.017036169736989945,0.04059947177193624,0.014296225059872152,1.0,0.018596065064975974,0.03180675827984041,0.001913260219789596,0.024029612175855936,0.0028303913919905236,0.009323380260217529,0.015516448100552185,0.1978941762652911
9am Temperature (Â°C),0.17938826859617474,0.09257218044481033,1.3560047068200278e-05,0.5674178573950422,0.2688480632788276,0.014402295981350049,0.11501028995302359,0.011178089599255038,0.018596065064975974,1.0,0.02712688579970982,0.03909879542013478,0.02755208751136259,0.22771325300862535,0.07442793395931492,0.019817103115959012,0.030001333715542606
9am Relative Humidity (%),0.007740683232875184,0.02706539399989107,5.672005263969047e-05,0.05040433937199202,0.027864678292272054,0.08593596683450606,0.049064376980473765,0.02838455930128827,0.03180675827984041,0.02712688579970982,1.0,0.03996601188458346,0.022507635288389678,0.04325160082801147,0.1319066481539108,0.040123066082498014,0.013465451720076545
9am Cloud Amount (oktas),0.005265784757091397,0.009279712020948802,0.019314347386287702,0.07370168009327119,0.006118815797282038,0.062139277257802564,0.006496238581478143,0.2597878049244858,0.001913260219789596,0.03909879542013478,0.03996601188458346,1.0,0.00572960208215896,0.00201563815049335,0.20750291837751733,0.17568018803624538,0.005240026379138073
9am Wind Speed (km/h),0.0038458161314239366,0.0017744793106537588,0.0022247774130518304,0.018594803261059462,0.04298609186036225,0.01493538511082924,0.002981432977888715,0.00938392003866597,0.024029612175855936,0.02755208751136259,0.022507635288389678,0.00572960208215896,1.0,0.04058888784220217,0.012343714053154134,0.006292149150129675,0.026323672019972686
3pm Temperature (Â°C),0.08440455781707434,0.02922699060165222,0.0032304504416934476,0.19490689901781472,0.5133382934868244,0.0021591002483393276,0.04541998842720265,0.06227600047816343,0.0028303913919905236,0.22771325300862535,0.04325160082801147,0.00201563815049335,0.04058888784220217,1.0,0.024406159444393262,0.038061933517842726,0.02567046099368358
3pm Relative Humidity (%),0.016372877423431978,0.02431691786559182,0.007819720875648861,0.10699544245599064,0.03800544587580383,0.08317826353462776,0.024255871513169158,0.20750404848566859,0.009323380260217529,0.07442793395931492,0.1319066481539108,0.20750291837751733,0.012343714053154134,0.024406159444393262,1.0,0.18698550864337354,0.010116546247009467
3pm Cloud Amount (oktas),0.00739803860294657,0.012438450878333389,0.017697979195788804,0.031254032519162867,0.021153844139267537,0.07835711965214111,0.01722771107846163,0.36377650299139913,0.015516448100552185,0.019817103115959012,0.040123066082498014,0.17568018803624538,0.006292149150129675,0.038061933517842726,0.18698550864337354,1.0,0.007869878939306999
3pm Wind Speed (km/h),0.016763408932218362,0.015310433943866216,0.014471589819387612,0.024127869058617288,0.0350110121206253,0.007354366680184371,0.027694242282226354,0.010902172917397663,0.1978941762652911,0.030001333715542606,0.013465451720076545,0.005240026379138073,0.026323672019972686,0.02567046099368358,0.010116546247009467,0.007869878939306999,1.0
